epoch,getRMSE,loss,val_getRMSE,val_loss
0,1.9575016,4.336022643901684,1.7164376,3.2845957582968253
1,1.274104,2.0117804051505193,1.110867,1.5342794483679312
2,1.0583748,1.3888585004453307,1.0480206,1.3357630800317835
3,0.9536205,1.137941522386339,0.8817159,0.9668746160577845
4,0.8649651,0.9462290992030391,0.82268584,0.884856639261599
5,0.8333325,0.872021625024301,0.81119615,0.8162262475049055
6,0.8196071,0.831143977023937,0.80316335,0.7975221679828786
7,0.81183016,0.8102921481662326,0.81029785,0.7834913576973809
8,0.80922234,0.7935425566920528,0.80539405,0.763660463668682
9,0.8084625,0.7787261540448224,0.7871163,0.7512208189787688
10,0.8029474,0.7672839197759275,0.7963518,0.7438423672428838
11,0.8030893,0.7556200961360225,0.7875933,0.7342625224148785
12,0.7992347,0.7453294244165773,0.7816964,0.7231565319167244
13,0.799839,0.7329168939413848,0.7726499,0.7139942880913064
14,0.7949588,0.7251294766178837,0.7695634,0.7048095081470631
15,0.79584587,0.7207246934749462,0.7941937,0.7013259599826954
16,0.79612166,0.717176928696809,0.7838014,0.6950765289200677
17,0.7918911,0.7081588132999561,0.7811955,0.6937165387471517
18,0.79068655,0.7025141969610144,0.7913715,0.6822946411591989
19,0.78895515,0.6955639298403704,0.76736134,0.6778041609128316
20,0.7832751,0.6894156447163334,0.7743667,0.6703828211183901
21,0.7800785,0.6803024814923604,0.7649646,0.659299531866003
22,0.77625483,0.6730035980012682,0.758325,0.6491528980820267
23,0.7706078,0.6657245154027586,0.7614366,0.6413571966135944
24,0.7717371,0.6616919958856371,0.7429216,0.6298647341021785
25,0.76677597,0.653747990625876,0.7520188,0.6225970224980955
26,0.76407415,0.6488139057689243,0.74809146,0.6151485778667308
27,0.7598691,0.6426756347550286,0.7442967,0.6175508451461792
28,0.7583839,0.639463013013204,0.7384872,0.6072906234529283
29,0.75601256,0.6352565624625595,0.73801357,0.6006603214475844
30,0.75314134,0.631956800089942,0.72592044,0.5952607051531473
31,0.7521806,0.6267449275652568,0.7209169,0.5917948326358089
32,0.7496918,0.62283808098899,0.7334242,0.5906730595341435
33,0.7497164,0.6217542260311268,0.7288789,0.584795779828672
34,0.7474214,0.6193150136029278,0.7203646,0.5801510710186428
35,0.7471782,0.614394366564574,0.7166685,0.579637134163468
36,0.7444825,0.6103401078294824,0.72454107,0.577200721193243
37,0.7422361,0.60812614080641,0.7157254,0.5732941216009635
38,0.74103385,0.6054276707967122,0.7130853,0.5687171519244159
39,0.7424884,0.6035146946377224,0.71732163,0.5647875418486419
40,0.7395296,0.6001618378957113,0.725117,0.5629091589539139
41,0.7325548,0.5973664611180624,0.7070299,0.5692773622936672
42,0.74029726,0.5968566592887596,0.71631944,0.5590622898384376
43,0.73889524,0.5980907664828831,0.71044856,0.5598116902068809
44,0.73255676,0.5936228275828891,0.7167103,0.5605617828722353
45,0.7324486,0.5908696557150946,0.7177644,0.5577645598517524
46,0.7307521,0.5878598813834014,0.6947031,0.5506278288805926
47,0.72920096,0.5856522320288199,0.69593793,0.5437908942611129
48,0.7284683,0.5831505173753809,0.7031341,0.5452607365890786
49,0.72933567,0.58253813123703,0.70953,0.542999745828134
50,0.7206713,0.5760600272284614,0.7001579,0.5386162404660826
51,0.7211355,0.5744301202032301,0.7051375,0.542113731348956
52,0.72020924,0.5718198681584111,0.68724644,0.5269294759079262
53,0.7148984,0.5682477667773211,0.6909225,0.5268992898199293
54,0.7090788,0.5612441147698296,0.6949237,0.51821861743927
55,0.7150916,0.5604293131121882,0.67393327,0.5142581540125387
56,0.7083376,0.5572359661526151,0.67023253,0.5142772863529347
57,0.7085352,0.5530243839511165,0.6626595,0.4981033652358585
58,0.7042827,0.5496779840257433,0.67120075,0.5019310242158396
59,0.7009505,0.5439207153850132,0.65025663,0.49378576808505587
60,0.69555825,0.5388617984277231,0.6555972,0.485710500213835
61,0.6912508,0.5363998436044763,0.67012113,0.5016781073146396
62,0.68719065,0.5313128617957786,0.6538173,0.4754309686024984
63,0.6815109,0.5250568044980367,0.63861334,0.4582846813290207
64,0.67616576,0.5134672064427976,0.63997,0.46452680084440445
65,0.676843,0.5111733412389402,0.62935245,0.45232458198512043
66,0.6704418,0.5066615428571348,0.61219585,0.4410767793655396
67,0.66857725,0.5028559871956154,0.6177959,0.43577927311261494
68,0.6627879,0.49594548122971144,0.61250085,0.4332475640155651
69,0.6570228,0.4916521034240723,0.61802536,0.45105395873387655
70,0.6534533,0.4857922182436343,0.60633206,0.4253483057022095
71,0.64594114,0.4800592934378871,0.61420524,0.44686615259559065
72,0.6446561,0.47582513890443023,0.5751796,0.39264288235593725
73,0.6332906,0.46161399940208153,0.5647447,0.3860945277743869
74,0.63040036,0.45919469505769234,0.565214,0.38435848156611124
75,0.62471503,0.45161981361000625,0.56051874,0.3795759073893229
76,0.6151479,0.4404515605414355,0.53687006,0.35441192556310586
77,0.61545795,0.4402627830505371,0.539216,0.35571840153800116
78,0.6040331,0.4278642905994698,0.5281439,0.3444705464221813
79,0.59508836,0.42174540988604226,0.5404553,0.34972858380388333
80,0.5884176,0.40985460503013044,0.52148414,0.3426431375079685
81,0.5767831,0.3986924711774897,0.49609655,0.3162085929181841
82,0.57865983,0.3980164949364132,0.51996505,0.3351448228624132
83,0.56739175,0.3852056862778134,0.49285185,0.30372822717384057
